fire_intesity,fire_detection,timestamp
1020,0,2024-12-17 23:54:40
1019,0,2024-12-17 23:54:40
1019,0,2024-12-17 23:54:40
1019,0,2024-12-17 23:54:40
1018,0,2024-12-17 23:54:40
1020,0,2024-12-17 23:54:40
1019,0,2024-12-17 23:54:41
1019,0,2024-12-17 23:54:41
1019,0,2024-12-17 23:54:41
1015,0,2024-12-17 23:54:41
1019,0,2024-12-17 23:54:41
1020,0,2024-12-17 23:54:41
1019,0,2024-12-17 23:54:41
1019,0,2024-12-17 23:54:41
1019,0,2024-12-17 23:54:41
1018,0,2024-12-17 23:54:41
1020,0,2024-12-17 23:54:42
1020,0,2024-12-17 23:54:42
1019,0,2024-12-17 23:54:42
1019,0,2024-12-17 23:54:42
1020,0,2024-12-17 23:54:42
1019,0,2024-12-17 23:54:42
1023,0,2024-12-17 23:54:42
1020,0,2024-12-17 23:54:42
1019,0,2024-12-17 23:54:42
1020,0,2024-12-17 23:54:42
1020,0,2024-12-17 23:54:43
1020,0,2024-12-17 23:54:43
1019,0,2024-12-17 23:54:43
1018,0,2024-12-17 23:54:43
1019,0,2024-12-17 23:54:43
1019,0,2024-12-17 23:54:43
1019,0,2024-12-17 23:54:43
1019,0,2024-12-17 23:54:43
1021,0,2024-12-17 23:54:43
1021,0,2024-12-17 23:54:43
1019,0,2024-12-17 23:54:44
1020,0,2024-12-17 23:54:44
1019,0,2024-12-17 23:54:44
1018,0,2024-12-17 23:54:44
1018,0,2024-12-17 23:54:44
1015,0,2024-12-17 23:54:44
1017,0,2024-12-17 23:54:44
1019,0,2024-12-17 23:54:44
1018,0,2024-12-17 23:54:44
1019,0,2024-12-17 23:54:44
1019,0,2024-12-17 23:54:45
1013,0,2024-12-17 23:54:45
1018,0,2024-12-17 23:54:45
1019,0,2024-12-17 23:54:45
1019,0,2024-12-17 23:54:45
1019,0,2024-12-17 23:54:45
1019,0,2024-12-17 23:54:45
1019,0,2024-12-17 23:54:45
1023,0,2024-12-17 23:54:45
1019,0,2024-12-17 23:54:45
1019,0,2024-12-17 23:54:46
1019,0,2024-12-17 23:54:46
1019,0,2024-12-17 23:54:46
1018,0,2024-12-17 23:54:46
1017,0,2024-12-17 23:54:46
1019,0,2024-12-17 23:54:46
931,0,2024-12-17 23:54:46
988,0,2024-12-17 23:54:46
996,0,2024-12-17 23:54:46
974,0,2024-12-17 23:54:46
974,0,2024-12-17 23:54:47
976,0,2024-12-17 23:54:47
970,0,2024-12-17 23:54:47
972,0,2024-12-17 23:54:47
969,0,2024-12-17 23:54:47
971,0,2024-12-17 23:54:47
985,0,2024-12-17 23:54:47
1016,0,2024-12-17 23:54:47
995,0,2024-12-17 23:54:47
1014,0,2024-12-17 23:54:47
1011,0,2024-12-17 23:54:48
1003,0,2024-12-17 23:54:48
998,0,2024-12-17 23:54:48
985,0,2024-12-17 23:54:48
984,0,2024-12-17 23:54:48
988,0,2024-12-17 23:54:48
980,0,2024-12-17 23:54:48
986,0,2024-12-17 23:54:48
988,0,2024-12-17 23:54:48
990,0,2024-12-17 23:54:48
976,0,2024-12-17 23:54:49
967,0,2024-12-17 23:54:49
959,0,2024-12-17 23:54:49
950,0,2024-12-17 23:54:49
964,0,2024-12-17 23:54:49
860,0,2024-12-17 23:54:49
798,0,2024-12-17 23:54:49
673,0,2024-12-17 23:54:49
535,0,2024-12-17 23:54:49
338,1,2024-12-17 23:54:49
80,1,2024-12-17 23:54:50
66,1,2024-12-17 23:54:50
64,1,2024-12-17 23:54:50
64,1,2024-12-17 23:54:50
65,1,2024-12-17 23:54:50
65,1,2024-12-17 23:54:50
65,1,2024-12-17 23:54:50
71,1,2024-12-17 23:54:50
69,1,2024-12-17 23:54:50
68,1,2024-12-17 23:54:50
73,1,2024-12-17 23:54:51
92,1,2024-12-17 23:54:51
94,1,2024-12-17 23:54:51
156,1,2024-12-17 23:54:51
148,1,2024-12-17 23:54:51
171,1,2024-12-17 23:54:51
238,1,2024-12-17 23:54:51
253,1,2024-12-17 23:54:51
254,1,2024-12-17 23:54:51
358,1,2024-12-17 23:54:51
500,1,2024-12-17 23:54:52
601,0,2024-12-17 23:54:52
626,0,2024-12-17 23:54:52
635,0,2024-12-17 23:54:52
599,0,2024-12-17 23:54:52
554,0,2024-12-17 23:54:52
453,1,2024-12-17 23:54:52
333,1,2024-12-17 23:54:52
259,1,2024-12-17 23:54:52
149,1,2024-12-17 23:54:52
271,1,2024-12-17 23:54:53
341,1,2024-12-17 23:54:53
295,1,2024-12-17 23:54:53
248,1,2024-12-17 23:54:53
253,1,2024-12-17 23:54:53
288,1,2024-12-17 23:54:53
352,1,2024-12-17 23:54:53
320,1,2024-12-17 23:54:53
241,1,2024-12-17 23:54:53
257,1,2024-12-17 23:54:53
418,1,2024-12-17 23:54:54
464,1,2024-12-17 23:54:54
498,1,2024-12-17 23:54:54
605,0,2024-12-17 23:54:54
698,0,2024-12-17 23:54:54
960,0,2024-12-17 23:54:54
696,0,2024-12-17 23:54:54
621,0,2024-12-17 23:54:54
529,0,2024-12-17 23:54:54
418,1,2024-12-17 23:54:54
367,1,2024-12-17 23:54:55
384,1,2024-12-17 23:54:55
496,1,2024-12-17 23:54:55
527,0,2024-12-17 23:54:55
492,1,2024-12-17 23:54:55
511,0,2024-12-17 23:54:55
494,1,2024-12-17 23:54:55
486,1,2024-12-17 23:54:55
489,1,2024-12-17 23:54:55
488,1,2024-12-17 23:54:55
513,0,2024-12-17 23:54:56
576,0,2024-12-17 23:54:56
554,0,2024-12-17 23:54:56
636,0,2024-12-17 23:54:56
646,0,2024-12-17 23:54:56
647,0,2024-12-17 23:54:56
577,0,2024-12-17 23:54:56
492,1,2024-12-17 23:54:56
464,1,2024-12-17 23:54:56
462,1,2024-12-17 23:54:57
482,1,2024-12-17 23:54:57
534,0,2024-12-17 23:54:57
511,0,2024-12-17 23:54:57
505,1,2024-12-17 23:54:57
526,0,2024-12-17 23:54:57
355,1,2024-12-17 23:54:57
1019,0,2024-12-17 23:54:57
1019,0,2024-12-17 23:54:57
1019,0,2024-12-17 23:54:57
1019,0,2024-12-17 23:54:58
1023,0,2024-12-17 23:54:58
1019,0,2024-12-17 23:54:58
1019,0,2024-12-17 23:54:58
1019,0,2024-12-17 23:54:58
1019,0,2024-12-17 23:54:58
1013,0,2024-12-17 23:54:58
1017,0,2024-12-17 23:54:58
1019,0,2024-12-17 23:54:58
1019,0,2024-12-17 23:54:58
1019,0,2024-12-17 23:54:59
1019,0,2024-12-17 23:54:59
1019,0,2024-12-17 23:54:59
1023,0,2024-12-17 23:54:59
1020,0,2024-12-17 23:54:59
1019,0,2024-12-17 23:54:59
1019,0,2024-12-17 23:54:59
1019,0,2024-12-17 23:54:59
1018,0,2024-12-17 23:54:59
1019,0,2024-12-17 23:54:59
1020,0,2024-12-17 23:55:00
1019,0,2024-12-17 23:55:00
1019,0,2024-12-17 23:55:00
1019,0,2024-12-17 23:55:00
1019,0,2024-12-17 23:55:00
1012,0,2024-12-17 23:55:00
1015,0,2024-12-17 23:55:00
1019,0,2024-12-17 23:55:00
1020,0,2024-12-17 23:55:00
1019,0,2024-12-17 23:55:00
1020,0,2024-12-17 23:55:01
1018,0,2024-12-17 23:55:01
1014,0,2024-12-17 23:55:01
1019,0,2024-12-17 23:55:01
1019,0,2024-12-17 23:55:01
1019,0,2024-12-17 23:55:01
1020,0,2024-12-17 23:55:01
1020,0,2024-12-17 23:55:01
1018,0,2024-12-17 23:55:01
1010,0,2024-12-17 23:55:01
941,0,2024-12-17 23:55:02
1019,0,2024-12-17 23:55:02
1020,0,2024-12-17 23:55:02
1019,0,2024-12-17 23:55:02
1019,0,2024-12-17 23:55:02
1017,0,2024-12-17 23:55:02
1019,0,2024-12-17 23:55:02
1019,0,2024-12-17 23:55:02
1019,0,2024-12-17 23:55:02
1020,0,2024-12-17 23:55:02
1020,0,2024-12-17 23:55:03
