timestamp,fire_intesity,fire_detection
2024-12-17 23:45:07,,
2024-12-17 23:45:08,1021.0,0.0
2024-12-17 23:45:08,1020.0,0.0
2024-12-17 23:45:08,1021.0,0.0
2024-12-17 23:45:08,1020.0,0.0
2024-12-17 23:45:08,1020.0,0.0
2024-12-17 23:45:08,1020.0,0.0
2024-12-17 23:45:08,1021.0,0.0
2024-12-17 23:45:09,1018.0,0.0
2024-12-17 23:45:09,1019.0,0.0
2024-12-17 23:45:09,1020.0,0.0
2024-12-17 23:45:09,1021.0,0.0
2024-12-17 23:45:09,1021.0,0.0
2024-12-17 23:45:09,1021.0,0.0
2024-12-17 23:45:09,1021.0,0.0
2024-12-17 23:45:09,1021.0,0.0
2024-12-17 23:45:09,1017.0,0.0
2024-12-17 23:45:09,1022.0,0.0
2024-12-17 23:45:10,1020.0,0.0
2024-12-17 23:45:10,1020.0,0.0
2024-12-17 23:45:10,1020.0,0.0
2024-12-17 23:45:10,1020.0,0.0
2024-12-17 23:45:10,1020.0,0.0
2024-12-17 23:45:10,1019.0,0.0
2024-12-17 23:45:10,1020.0,0.0
2024-12-17 23:45:10,1019.0,0.0
2024-12-17 23:45:10,1020.0,0.0
2024-12-17 23:45:10,1020.0,0.0
2024-12-17 23:45:11,1020.0,0.0
2024-12-17 23:45:11,1020.0,0.0
2024-12-17 23:45:11,1020.0,0.0
2024-12-17 23:45:11,1020.0,0.0
2024-12-17 23:45:11,1021.0,0.0
2024-12-17 23:45:11,1023.0,0.0
2024-12-17 23:45:11,1020.0,0.0
2024-12-17 23:45:11,1021.0,0.0
2024-12-17 23:45:11,1020.0,0.0
2024-12-17 23:45:11,1020.0,0.0
2024-12-17 23:45:12,1020.0,0.0
2024-12-17 23:45:12,1020.0,0.0
2024-12-17 23:45:12,1021.0,0.0
2024-12-17 23:45:12,1021.0,0.0
2024-12-17 23:45:12,1020.0,0.0
2024-12-17 23:45:12,1020.0,0.0
2024-12-17 23:45:12,1020.0,0.0
2024-12-17 23:45:12,1020.0,0.0
2024-12-17 23:45:12,1020.0,0.0
2024-12-17 23:45:12,1020.0,0.0
2024-12-17 23:45:13,1021.0,0.0
2024-12-17 23:45:13,1016.0,0.0
2024-12-17 23:45:13,1020.0,0.0
2024-12-17 23:45:13,1020.0,0.0
2024-12-17 23:45:13,1020.0,0.0
2024-12-17 23:45:13,1020.0,0.0
2024-12-17 23:45:13,1020.0,0.0
2024-12-17 23:45:13,1020.0,0.0
2024-12-17 23:45:13,1020.0,0.0
2024-12-17 23:45:13,1023.0,0.0
2024-12-17 23:45:14,1019.0,0.0
2024-12-17 23:45:14,1020.0,0.0
2024-12-17 23:45:14,1020.0,0.0
2024-12-17 23:45:14,1021.0,0.0
2024-12-17 23:45:14,1020.0,0.0
2024-12-17 23:45:14,1021.0,0.0
2024-12-17 23:45:14,1020.0,0.0
2024-12-17 23:45:14,1021.0,0.0
2024-12-17 23:45:14,1020.0,0.0
2024-12-17 23:45:14,1021.0,0.0
2024-12-17 23:45:15,1021.0,0.0
2024-12-17 23:45:15,1021.0,0.0
2024-12-17 23:45:15,1020.0,0.0
2024-12-17 23:45:15,1020.0,0.0
2024-12-17 23:45:15,1022.0,0.0
2024-12-17 23:45:15,1020.0,0.0
2024-12-17 23:45:15,1020.0,0.0
2024-12-17 23:45:15,1020.0,0.0
2024-12-17 23:45:15,1020.0,0.0
2024-12-17 23:45:15,1020.0,0.0
2024-12-17 23:45:16,1020.0,0.0
2024-12-17 23:45:16,1019.0,0.0
2024-12-17 23:45:16,1022.0,0.0
2024-12-17 23:45:16,1022.0,0.0
2024-12-17 23:45:16,977.0,0.0
2024-12-17 23:45:16,86.0,1.0
2024-12-17 23:45:16,274.0,1.0
2024-12-17 23:45:16,367.0,1.0
2024-12-17 23:45:16,288.0,1.0
2024-12-17 23:45:16,308.0,1.0
2024-12-17 23:45:17,208.0,1.0
