fire_intesity,fire_detection,timestamp
1018,0,2024-12-18 00:06:10
1017,0,2024-12-18 00:06:10
1016,0,2024-12-18 00:06:10
1016,0,2024-12-18 00:06:11
1016,0,2024-12-18 00:06:11
1017,0,2024-12-18 00:06:11
1017,0,2024-12-18 00:06:11
1016,0,2024-12-18 00:06:11
1017,0,2024-12-18 00:06:11
1018,0,2024-12-18 00:06:11
1017,0,2024-12-18 00:06:11
1017,0,2024-12-18 00:06:11
1017,0,2024-12-18 00:06:11
1016,0,2024-12-18 00:06:12
1016,0,2024-12-18 00:06:12
1017,0,2024-12-18 00:06:12
1015,0,2024-12-18 00:06:12
1015,0,2024-12-18 00:06:12
1019,0,2024-12-18 00:06:12
1016,0,2024-12-18 00:06:12
1015,0,2024-12-18 00:06:12
1015,0,2024-12-18 00:06:12
1015,0,2024-12-18 00:06:12
1017,0,2024-12-18 00:06:13
1016,0,2024-12-18 00:06:13
1016,0,2024-12-18 00:06:13
1016,0,2024-12-18 00:06:13
1016,0,2024-12-18 00:06:13
1013,0,2024-12-18 00:06:13
1020,0,2024-12-18 00:06:13
1020,0,2024-12-18 00:06:13
1017,0,2024-12-18 00:06:13
1016,0,2024-12-18 00:06:13
1016,0,2024-12-18 00:06:14
1016,0,2024-12-18 00:06:14
1016,0,2024-12-18 00:06:14
1016,0,2024-12-18 00:06:14
1016,0,2024-12-18 00:06:14
1016,0,2024-12-18 00:06:14
1015,0,2024-12-18 00:06:14
1017,0,2024-12-18 00:06:14
1011,0,2024-12-18 00:06:14
1016,0,2024-12-18 00:06:14
1016,0,2024-12-18 00:06:15
1016,0,2024-12-18 00:06:15
1016,0,2024-12-18 00:06:15
1017,0,2024-12-18 00:06:15
1017,0,2024-12-18 00:06:15
1016,0,2024-12-18 00:06:15
1016,0,2024-12-18 00:06:15
1017,0,2024-12-18 00:06:15
1014,0,2024-12-18 00:06:15
1017,0,2024-12-18 00:06:15
1016,0,2024-12-18 00:06:16
1016,0,2024-12-18 00:06:16
1016,0,2024-12-18 00:06:16
1016,0,2024-12-18 00:06:16
1016,0,2024-12-18 00:06:16
1016,0,2024-12-18 00:06:16
1015,0,2024-12-18 00:06:16
1019,0,2024-12-18 00:06:16
1017,0,2024-12-18 00:06:16
1013,0,2024-12-18 00:06:16
1017,0,2024-12-18 00:06:17
1017,0,2024-12-18 00:06:17
1017,0,2024-12-18 00:06:17
1017,0,2024-12-18 00:06:17
1017,0,2024-12-18 00:06:17
1017,0,2024-12-18 00:06:17
1017,0,2024-12-18 00:06:17
1017,0,2024-12-18 00:06:17
1021,0,2024-12-18 00:06:17
1016,0,2024-12-18 00:06:17
1016,0,2024-12-18 00:06:18
1016,0,2024-12-18 00:06:18
1015,0,2024-12-18 00:06:18
1015,0,2024-12-18 00:06:18
1015,0,2024-12-18 00:06:18
1015,0,2024-12-18 00:06:18
1014,0,2024-12-18 00:06:18
1016,0,2024-12-18 00:06:18
1016,0,2024-12-18 00:06:18
1016,0,2024-12-18 00:06:18
1016,0,2024-12-18 00:06:19
1016,0,2024-12-18 00:06:19
1016,0,2024-12-18 00:06:19
1016,0,2024-12-18 00:06:19
1016,0,2024-12-18 00:06:19
1017,0,2024-12-18 00:06:19
1016,0,2024-12-18 00:06:19
1016,0,2024-12-18 00:06:19
1013,0,2024-12-18 00:06:19
1013,0,2024-12-18 00:06:19
1015,0,2024-12-18 00:06:20
1016,0,2024-12-18 00:06:20
1016,0,2024-12-18 00:06:20
1017,0,2024-12-18 00:06:20
1018,0,2024-12-18 00:06:20
1017,0,2024-12-18 00:06:20
1016,0,2024-12-18 00:06:20
1016,0,2024-12-18 00:06:20
1018,0,2024-12-18 00:06:20
1019,0,2024-12-18 00:06:20
1013,0,2024-12-18 00:06:21
1018,0,2024-12-18 00:06:21
1016,0,2024-12-18 00:06:21
1016,0,2024-12-18 00:06:21
1016,0,2024-12-18 00:06:21
1017,0,2024-12-18 00:06:21
1016,0,2024-12-18 00:06:21
1016,0,2024-12-18 00:06:21
1017,0,2024-12-18 00:06:21
1018,0,2024-12-18 00:06:21
1022,0,2024-12-18 00:06:22
1020,0,2024-12-18 00:06:22
1016,0,2024-12-18 00:06:22
1016,0,2024-12-18 00:06:22
1017,0,2024-12-18 00:06:22
1018,0,2024-12-18 00:06:22
1018,0,2024-12-18 00:06:22
1017,0,2024-12-18 00:06:22
1017,0,2024-12-18 00:06:22
1016,0,2024-12-18 00:06:22
1017,0,2024-12-18 00:06:23
1017,0,2024-12-18 00:06:23
1014,0,2024-12-18 00:06:23
1015,0,2024-12-18 00:06:23
1016,0,2024-12-18 00:06:23
1016,0,2024-12-18 00:06:23
1016,0,2024-12-18 00:06:23
1016,0,2024-12-18 00:06:23
1016,0,2024-12-18 00:06:23
1015,0,2024-12-18 00:06:24
1018,0,2024-12-18 00:06:24
1020,0,2024-12-18 00:06:24
1015,0,2024-12-18 00:06:24
1015,0,2024-12-18 00:06:24
