fire_intesity,fire_detection,timestamp
1021,0,2024-12-17 23:47:48
1019,0,2024-12-17 23:47:48
1019,0,2024-12-17 23:47:48
1020,0,2024-12-17 23:47:48
1020,0,2024-12-17 23:47:48
1020,0,2024-12-17 23:47:48
1020,0,2024-12-17 23:47:48
1020,0,2024-12-17 23:47:48
1020,0,2024-12-17 23:47:48
1021,0,2024-12-17 23:47:49
1021,0,2024-12-17 23:47:49
1021,0,2024-12-17 23:47:49
1020,0,2024-12-17 23:47:49
1020,0,2024-12-17 23:47:49
1020,0,2024-12-17 23:47:49
1020,0,2024-12-17 23:47:49
1020,0,2024-12-17 23:47:49
1022,0,2024-12-17 23:47:49
1019,0,2024-12-17 23:47:49
1020,0,2024-12-17 23:47:50
1020,0,2024-12-17 23:47:50
1020,0,2024-12-17 23:47:50
1019,0,2024-12-17 23:47:50
1020,0,2024-12-17 23:47:50
1020,0,2024-12-17 23:47:50
1020,0,2024-12-17 23:47:50
1020,0,2024-12-17 23:47:50
1020,0,2024-12-17 23:47:50
1020,0,2024-12-17 23:47:50
1020,0,2024-12-17 23:47:51
1020,0,2024-12-17 23:47:51
1020,0,2024-12-17 23:47:51
1020,0,2024-12-17 23:47:51
1020,0,2024-12-17 23:47:51
1019,0,2024-12-17 23:47:51
1019,0,2024-12-17 23:47:51
1020,0,2024-12-17 23:47:51
1020,0,2024-12-17 23:47:51
1021,0,2024-12-17 23:47:51
1018,0,2024-12-17 23:47:52
1020,0,2024-12-17 23:47:52
1020,0,2024-12-17 23:47:52
1021,0,2024-12-17 23:47:52
1015,0,2024-12-17 23:47:52
1020,0,2024-12-17 23:47:52
1020,0,2024-12-17 23:47:52
1020,0,2024-12-17 23:47:52
1020,0,2024-12-17 23:47:52
1020,0,2024-12-17 23:47:52
1019,0,2024-12-17 23:47:53
1019,0,2024-12-17 23:47:53
1020,0,2024-12-17 23:47:53
1020,0,2024-12-17 23:47:53
1020,0,2024-12-17 23:47:53
1017,0,2024-12-17 23:47:53
1020,0,2024-12-17 23:47:53
1020,0,2024-12-17 23:47:53
1020,0,2024-12-17 23:47:53
1021,0,2024-12-17 23:47:53
1022,0,2024-12-17 23:47:54
1021,0,2024-12-17 23:47:54
1020,0,2024-12-17 23:47:54
1020,0,2024-12-17 23:47:54
1021,0,2024-12-17 23:47:54
1019,0,2024-12-17 23:47:54
1019,0,2024-12-17 23:47:54
1020,0,2024-12-17 23:47:54
1020,0,2024-12-17 23:47:54
1020,0,2024-12-17 23:47:54
1021,0,2024-12-17 23:47:55
1020,0,2024-12-17 23:47:55
1020,0,2024-12-17 23:47:55
1020,0,2024-12-17 23:47:55
1020,0,2024-12-17 23:47:55
1018,0,2024-12-17 23:47:55
1021,0,2024-12-17 23:47:55
1020,0,2024-12-17 23:47:55
1020,0,2024-12-17 23:47:55
1020,0,2024-12-17 23:47:55
1021,0,2024-12-17 23:47:56
1020,0,2024-12-17 23:47:56
1020,0,2024-12-17 23:47:56
1020,0,2024-12-17 23:47:56
1020,0,2024-12-17 23:47:56
1019,0,2024-12-17 23:47:56
1019,0,2024-12-17 23:47:56
1019,0,2024-12-17 23:47:56
1020,0,2024-12-17 23:47:56
1020,0,2024-12-17 23:47:56
1020,0,2024-12-17 23:47:57
1015,0,2024-12-17 23:47:57
1019,0,2024-12-17 23:47:57
1020,0,2024-12-17 23:47:57
1020,0,2024-12-17 23:47:57
1020,0,2024-12-17 23:47:57
1022,0,2024-12-17 23:47:57
1020,0,2024-12-17 23:47:57
1020,0,2024-12-17 23:47:57
82,1,2024-12-17 23:47:57
1000,0,2024-12-17 23:47:58
1000,0,2024-12-17 23:47:58
996,0,2024-12-17 23:47:58
1000,0,2024-12-17 23:47:58
1007,0,2024-12-17 23:47:58
999,0,2024-12-17 23:47:58
995,0,2024-12-17 23:47:58
999,0,2024-12-17 23:47:58
1001,0,2024-12-17 23:47:58
1001,0,2024-12-17 23:47:58
1005,0,2024-12-17 23:47:59
1004,0,2024-12-17 23:47:59
1000,0,2024-12-17 23:47:59
1004,0,2024-12-17 23:47:59
997,0,2024-12-17 23:47:59
997,0,2024-12-17 23:47:59
995,0,2024-12-17 23:47:59
994,0,2024-12-17 23:47:59
996,0,2024-12-17 23:47:59
1019,0,2024-12-17 23:47:59
997,0,2024-12-17 23:48:00
1002,0,2024-12-17 23:48:00
1008,0,2024-12-17 23:48:00
990,0,2024-12-17 23:48:00
993,0,2024-12-17 23:48:00
991,0,2024-12-17 23:48:00
987,0,2024-12-17 23:48:00
991,0,2024-12-17 23:48:00
986,0,2024-12-17 23:48:00
985,0,2024-12-17 23:48:01
983,0,2024-12-17 23:48:01
983,0,2024-12-17 23:48:01
980,0,2024-12-17 23:48:01
982,0,2024-12-17 23:48:01
983,0,2024-12-17 23:48:01
983,0,2024-12-17 23:48:01
987,0,2024-12-17 23:48:01
982,0,2024-12-17 23:48:01
983,0,2024-12-17 23:48:01
980,0,2024-12-17 23:48:02
985,0,2024-12-17 23:48:02
1001,0,2024-12-17 23:48:02
982,0,2024-12-17 23:48:02
986,0,2024-12-17 23:48:02
984,0,2024-12-17 23:48:02
986,0,2024-12-17 23:48:02
998,0,2024-12-17 23:48:02
982,0,2024-12-17 23:48:02
974,0,2024-12-17 23:48:02
977,0,2024-12-17 23:48:03
977,0,2024-12-17 23:48:03
982,0,2024-12-17 23:48:03
988,0,2024-12-17 23:48:03
971,0,2024-12-17 23:48:03
965,0,2024-12-17 23:48:03
973,0,2024-12-17 23:48:03
986,0,2024-12-17 23:48:03
976,0,2024-12-17 23:48:03
969,0,2024-12-17 23:48:03
963,0,2024-12-17 23:48:04
963,0,2024-12-17 23:48:04
958,0,2024-12-17 23:48:04
957,0,2024-12-17 23:48:04
955,0,2024-12-17 23:48:04
955,0,2024-12-17 23:48:04
965,0,2024-12-17 23:48:04
953,0,2024-12-17 23:48:04
956,0,2024-12-17 23:48:04
