fire_intesity,fire_detection,timestamp
1021,0,2024-12-17 23:48:52
1020,0,2024-12-17 23:48:52
1019,0,2024-12-17 23:48:53
1018,0,2024-12-17 23:48:53
1021,0,2024-12-17 23:48:53
1021,0,2024-12-17 23:48:53
1021,0,2024-12-17 23:48:53
1019,0,2024-12-17 23:48:53
1020,0,2024-12-17 23:48:53
1020,0,2024-12-17 23:48:53
1021,0,2024-12-17 23:48:53
1023,0,2024-12-17 23:48:53
1021,0,2024-12-17 23:48:54
1021,0,2024-12-17 23:48:54
1021,0,2024-12-17 23:48:54
1021,0,2024-12-17 23:48:54
1023,0,2024-12-17 23:48:54
1020,0,2024-12-17 23:48:54
1020,0,2024-12-17 23:48:54
1020,0,2024-12-17 23:48:54
1020,0,2024-12-17 23:48:54
1019,0,2024-12-17 23:48:55
1020,0,2024-12-17 23:48:55
1020,0,2024-12-17 23:48:55
1022,0,2024-12-17 23:48:55
1020,0,2024-12-17 23:48:55
1020,0,2024-12-17 23:48:55
1020,0,2024-12-17 23:48:55
1019,0,2024-12-17 23:48:55
1018,0,2024-12-17 23:48:55
1019,0,2024-12-17 23:48:55
1020,0,2024-12-17 23:48:56
1020,0,2024-12-17 23:48:56
1021,0,2024-12-17 23:48:56
1020,0,2024-12-17 23:48:56
1020,0,2024-12-17 23:48:56
1020,0,2024-12-17 23:48:56
1018,0,2024-12-17 23:48:56
1019,0,2024-12-17 23:48:56
1019,0,2024-12-17 23:48:56
1020,0,2024-12-17 23:48:56
1020,0,2024-12-17 23:48:57
1016,0,2024-12-17 23:48:57
1020,0,2024-12-17 23:48:57
1020,0,2024-12-17 23:48:57
1020,0,2024-12-17 23:48:57
1015,0,2024-12-17 23:48:57
1020,0,2024-12-17 23:48:57
1020,0,2024-12-17 23:48:57
1020,0,2024-12-17 23:48:57
1020,0,2024-12-17 23:48:57
1022,0,2024-12-17 23:48:58
1020,0,2024-12-17 23:48:58
1020,0,2024-12-17 23:48:58
1019,0,2024-12-17 23:48:58
1017,0,2024-12-17 23:48:58
1020,0,2024-12-17 23:48:58
1020,0,2024-12-17 23:48:58
1020,0,2024-12-17 23:48:58
1017,0,2024-12-17 23:48:58
921,0,2024-12-17 23:48:58
973,0,2024-12-17 23:48:59
973,0,2024-12-17 23:48:59
970,0,2024-12-17 23:48:59
973,0,2024-12-17 23:48:59
969,0,2024-12-17 23:48:59
964,0,2024-12-17 23:48:59
966,0,2024-12-17 23:48:59
959,0,2024-12-17 23:48:59
972,0,2024-12-17 23:48:59
976,0,2024-12-17 23:48:59
961,0,2024-12-17 23:49:00
967,0,2024-12-17 23:49:00
960,0,2024-12-17 23:49:00
967,0,2024-12-17 23:49:00
966,0,2024-12-17 23:49:00
966,0,2024-12-17 23:49:00
963,0,2024-12-17 23:49:00
961,0,2024-12-17 23:49:00
961,0,2024-12-17 23:49:00
956,0,2024-12-17 23:49:00
960,0,2024-12-17 23:49:01
1004,0,2024-12-17 23:49:01
968,0,2024-12-17 23:49:01
947,0,2024-12-17 23:49:01
963,0,2024-12-17 23:49:01
948,0,2024-12-17 23:49:01
948,0,2024-12-17 23:49:01
954,0,2024-12-17 23:49:01
948,0,2024-12-17 23:49:01
944,0,2024-12-17 23:49:01
947,0,2024-12-17 23:49:02
944,0,2024-12-17 23:49:02
947,0,2024-12-17 23:49:02
945,0,2024-12-17 23:49:02
944,0,2024-12-17 23:49:02
943,0,2024-12-17 23:49:02
942,0,2024-12-17 23:49:02
936,0,2024-12-17 23:49:02
942,0,2024-12-17 23:49:02
930,0,2024-12-17 23:49:02
931,0,2024-12-17 23:49:03
937,0,2024-12-17 23:49:03
944,0,2024-12-17 23:49:03
912,0,2024-12-17 23:49:03
942,0,2024-12-17 23:49:03
926,0,2024-12-17 23:49:03
938,0,2024-12-17 23:49:03
940,0,2024-12-17 23:49:03
938,0,2024-12-17 23:49:03
941,0,2024-12-17 23:49:03
994,0,2024-12-17 23:49:04
942,0,2024-12-17 23:49:04
921,0,2024-12-17 23:49:04
929,0,2024-12-17 23:49:04
933,0,2024-12-17 23:49:04
933,0,2024-12-17 23:49:04
934,0,2024-12-17 23:49:04
921,0,2024-12-17 23:49:04
927,0,2024-12-17 23:49:04
934,0,2024-12-17 23:49:04
939,0,2024-12-17 23:49:05
917,0,2024-12-17 23:49:05
934,0,2024-12-17 23:49:05
927,0,2024-12-17 23:49:05
